"team.id","team.size","final.performance","time.of.day","females","final.cash","final.contracts","final.reorders","final.rank","interim.performance","interim.cash","interim.contracts","interim.reorders","interim.rank"
2,6,0.505548839,14.25,2,1805166,3,87,5,,,,,
3,5,0.604007132,14.25,1,1894642,3,85,4,,,,,
4,4,-0.450756891,14.25,2,1338256,3,80,12,,,,,
5,4,0.910154811,14.25,2,1998412,3,90,2,,,,,
6,5,0.831575712,14.25,1,1983439,3,90,3,,,,,
9,4,-0.679794056,14.25,1,1524141,2,77,10,,,,,
12,6,0.467874126,14.25,1,1771015,3,90,6,,,,,
14,5,0.106260407,10.75,2,1715843,3,80,8,,,,,
16,5,-0.29895972,10.75,2,1377232,2,100,9,,,,,
18,5,1.10989092,10.75,1,1953814,3,99,1,,,,,
19,3,0.321582215,10.75,1,1788609,3,85,7,,,,,
21,5,-0.936175733,10.75,1,1358222,2,70,10,,,,,
23,5,0.6790747,10.75,1,1929259,3,84,3,,,,,
24,6,-1.047396689,10.75,1,1058115,2,80,11,,,,,
27,5,0.377080799,16,2,1870332,3,81,6,,,,,
28,5,1.054228413,16,1,2050636,3,92,1,,,,,
30,4,0.014999928,16,1,1617638,3,90,11,,,,,
32,5,0.282814825,16,1,1662155,3,99,10,,,,,
34,5,0.260760208,16,1,1796880,3,85,8,,,,,
35,6,0.592587033,16,1,1967580,3,85,5,,,,,
36,5,0.275261414,16,2,1782546,3,90,9,,,,,
39,3,0.742972466,16,0,1979585,3,89,4,,,,,
42,5,-0.485186879,9,2,1545551,2,83,9,0.0904374652239903,961412,1,78,2
44,6,-0.4344426,9,2,1408975,2,95,10,0.270105418251237,891031,2,100,8
46,5,0.358277333,9,2,1782072,3,80,5,0.16709757082403,831966,3,85,10
47,5,0.458317236,9,2,1725189,3,95,7,0.167342992146023,840113,3,80,9
48,5,0.900278335,9,2,1946078,3,88,1,0.256793205890471,891267,2,95,7
49,5,-1.387857283,9,2,642783,2,86,13,-1.65393716755107,619239,2,20,13
50,5,0.321586894,9,2,1773450,3,82,6,0.98085192965566,971554,3,88,1
52,5,-0.785387138,9,2,1246566,2,90,12,-0.302024856328206,753786,2,89,11
53,5,-0.396236651,9,2,1321736,3,80,11,-1.21443093303772,434957,2,76,14
55,6,0.615261273,14.25,2,1748765,3,88,3,0.269477232230662,730972,3,108,11
57,5,-0.773594235,14.25,2,1174116,2,90,11,-0.586956125369961,698312,2,80,12
58,5,-0.584131442,14.25,2,1343311,2,86,9,0.178859352937382,803367,2,100,7
60,5,0.176487956,14.25,2,1665313,3,75,5,0.0843214753130201,799673,3,75,8
61,4,-0.034846041,14.25,2,1409932,3,85,8,0.72968513634982,961718,3,80,3
62,5,0.816580998,14.25,2,1997127,3,85,2,0.878334295476133,1014035,3,80,2
63,5,-0.297680048,14.25,2,1551577,2,82,6,0.262055217283096,918830,2,84,5
64,4,-1.223765755,14.25,2,1157541,2,70,12,-1.20201244778878,653768,1,70,13
65,4,-3.080657316,14.25,2,736739,1,15,13,-1.82668224199401,637633,1,33,14
66,5,-0.676330567,14.25,2,1334750,2,85,10,-0.0784620403443796,756481,2,100,10
69,6,0.923465669,10.75,2,1927949,3,90,1,0.842059280218733,1000872,3,75,1
70,5,0.400156511,10.75,2,1764170,3,83,5,0.279382950884341,879072,3,75,7
71,5,0.811554835,10.75,2,1917826,3,88,2,0.858971989757694,968797,3,84,2
72,5,0.647110414,10.75,2,1781380,3,92,4,0.187916633072966,809693,3,85,9
73,5,-0.118187944,10.75,2,1680494,2,90,7,0.743386559975808,927288,3,85,3
74,6,0.655085942,10.75,2,1825136,3,87,3,0.679215974324135,924265,3,85,4
77,5,0.448398925,10.75,2,1745522,3,90,6,-0.0287500061769801,802537,3,75,10
78,4,-1.011867815,10.75,2,1280396,2,80,13,-0.136548384411591,766053,3,80,12
79,5,0.436680878,10.75,2,1663551,3,100,8,0.360966281314012,833823,3,90,8
80,5,0.057433023,10.75,2,1618612,3,85,9,-0.339658267371144,707334,2,100,13
81,5,-0.676951099,10.75,2,1217942,3,80,14,-2.19779953286221,396109,1,40,15
82,5,-0.042088011,10.75,2,1542910,3,90,11,-0.0474561568670262,783618,3,80,11
84,6,0.186917412,10.75,2,1424498,3,100,9,0.93906618752657,956619,3,95,3
86,5,-1.032879392,10.75,2,1165005,2,80,12,-0.986163981233807,644439,1,90,14
87,5,0.049958565,10.75,2,1642144,3,80,8,-0.252832813469383,698200,3,80,12
88,6,-0.116561232,10.75,2,1251500,3,98,11,0.595895104812732,834184,3,98,6
91,5,-0.599160141,10.75,2,1314563,2,90,10,-0.157058436565912,761048,2,90,9
92,5,-2.864853421,10.75,2,776820,1,25,13,-1.27898389839828,651358,2,42,13
93,5,0.577617749,10.75,2,1763136,3,89,4,0.124091405121549,788458,3,75,7
94,5,0.879964678,10.75,2,1910412,3,92,2,0.971251071792588,966433,3,92,2
95,6,0.155119962,10.75,2,1643432,3,82,7,-0.588524064312004,738781,1,90,10
96,5,0.509215584,10.75,2,1737244,3,90,5,-0.000971682799893556,775280,2,95,8
97,5,0.91318502,10.75,2,2011454,3,86,1,1.07792684528161,1062138,3,84,1
99,5,0.821215526,9,2,1978953,3,86,2,1.09243034656671,1036661,3,88,1
101,5,-2.354366264,9,2,839032,1,50,13,-1.6435699225433,600236,1,50,14
102,5,0.749663175,9,2,1973178,3,86,3,0.891834670299729,1005905,3,90,4
105,5,0.546476144,9,2,1786018,3,90,5,-0.0650798620711958,789342,3,70,9
106,5,-0.403375298,9,2,1261807,2,110,12,0.0461832149666596,853224,2,85,7
107,5,0.109179347,9,2,1631777,3,80,7,0.330911898569159,816286,3,90,8
108,5,-0.097211537,9,2,1494994,3,89,11,-0.962253211393027,640940,1,88,13
109,5,-0.045259215,9,2,1605391,3,80,9,-0.244930812167552,736191,2,95,11
110,5,-0.364074484,9,2,1616200,2,83,8,0.784064935790606,1035874,3,75,3
111,6,0.638171564,9,2,1890882,3,87,4,0.65417020320028,885158,3,96,6
